trial,objective,episodes,env_steps,wall_s,params
51,614.169,3,13500,201.3,"{""werr"": [196.75843956950737, 32.93147777941277, 1390.4662595474895, 4.195726419642252, 1.5790679655824518, 0.5682347621096628, 3515.9000806910785, 498.5552255362394, 0.21617178241914622, 0.37180349204672763, 0.3548606811357256, 0.986678774581464], ""wu"": [0.01357119648261285]}"
52,408.564,3,13500,202.0,"{""werr"": [55.11266326224433, 629.0037233580624, 238.7915454070546, 4.9860910843314015, 0.12301781182929247, 1.5822928559279623, 1832.7271836878901, 155.0828723463981, 20.87048891013327, 0.10437848008475198, 0.103136928898996, 1.185869999400319], ""wu"": [0.020723537003538618]}"
53,310.685,3,13500,206.1,"{""werr"": [127.45601857337299, 257.17405572469573, 1000.8296620445941, 11.478149174431973, 0.695655475801932, 4.595704795362301, 974.8409378880715, 711.8893793987874, 1.6223909238447367, 0.1655717934108515, 0.5141972266449538, 2952.0240906475356], ""wu"": [0.010046883004708495]}"
54,394.351,3,13500,201.4,"{""werr"": [128.6331175035181, 367.27995076468005, 980.0472057445999, 12.20237563796494, 0.6333701633054836, 15.796098842383117, 378.83842142743316, 1105.5256351593289, 1.3353690714221003, 0.16212997617754898, 0.8302116358799912, 0.22182369082913564], ""wu"": [0.04482274852202506]}"
55,397.52,3,13500,206.1,"{""werr"": [44.543772897074085, 242.2717242603813, 1981.9113996436165, 3.0285591407364967, 0.34409982791996757, 4.51133444237577, 2815.908726297212, 666.100007931826, 8.85644955157619, 0.14251373111868554, 0.4712100644252502, 3048.1923173839723], ""wu"": [0.009530248336612843]}"
56,6856.26,3,13500,203.4,"{""werr"": [0.6062891221440311, 121.30912790681869, 445.79492218233617, 27.101473824786087, 1.096370329150389, 5.6503434698206645, 951.6021120287761, 2548.566216170427, 0.47537731234873853, 0.10260378895129554, 0.16114349776859796, 0.2213846727647307], ""wu"": [0.01565824817998976]}"
57,399.328,3,13500,204.6,"{""werr"": [27.889441585659636, 917.4215749314054, 164.0959305249891, 6.754684121576942, 8.811192534226114, 266.09909145027626, 573.1239291987129, 225.62526551974892, 1.006289571518887, 0.7486874577350464, 1.4963323874206538, 1796.5690087901455], ""wu"": [0.0071576526262342515]}"
58,488.986,3,13500,201.7,"{""werr"": [247.90774957266925, 239.4583777615062, 4659.833693260083, 0.10620978842781595, 2.0980795941379418, 3.085616429542461, 1260.3489863415155, 316.59287910567, 2.9273076375937466, 0.22003336490698716, 0.20861036461134733, 8.783058345535906], ""wu"": [0.0697666156568919]}"
59,402,3,13500,202.5,"{""werr"": [428.77923034414215, 136.62252919609423, 321.16092760255765, 1849.3566964209956, 0.21157768718499478, 0.20477932068136948, 2696.867130138607, 823.8121343449394, 44.50367073468607, 0.3762948744006514, 2.858640940230463, 0.6503657593038592], ""wu"": [0.023206065741897756]}"
60,333.464,3,13500,205.1,"{""werr"": [156.39801424503867, 3227.046701805299, 831.8696819851418, 11.843983820445242, 13.605797262695686, 33.555761477269726, 4541.30326219508, 1615.6096551566707, 0.7610350094579631, 0.2707435876461703, 0.9162552973754272, 3159.7885334550547], ""wu"": [0.010077394396121733]}"
61,334.953,3,13500,204.9,"{""werr"": [151.58328217936946, 3577.625824833368, 847.3077625931418, 11.546840047010031, 12.704948483445783, 40.78287592553226, 4298.139081670573, 1737.6101929557472, 0.2690081871010008, 0.15666495179167333, 0.7845483423874987, 3490.003427314651], ""wu"": [0.010419836499535085]}"
62,340.863,3,13500,205.2,"{""werr"": [152.97810694070208, 3595.264196137608, 780.7895439527348, 12.220607319270405, 5.578935334108247, 39.47023262036118, 4698.0218890480855, 3471.791867448813, 0.2597494605569217, 0.15012485442239593, 0.9180013804124433, 2922.471457408523], ""wu"": [0.009911278543272013]}"
63,348.873,3,13500,203.1,"{""werr"": [97.57600702958955, 3190.358054976537, 1642.5903596698877, 10.18297317349913, 13.53196415503372, 143.52607170223283, 2373.9702634660366, 1486.5785766074316, 0.6302756123733855, 0.26277942357026973, 0.5188781857763837, 576.6554575644717], ""wu"": [0.014043294103417847]}"
64,362.327,3,13500,202.9,"{""werr"": [56.0366760201604, 4762.943188524445, 2761.253841963314, 41.08044930182221, 13.435363845978873, 26.22039945186853, 1124.9755828687832, 504.2611057076027, 0.2094420982319724, 0.46673064654795243, 0.7462914070154228, 0.14430966426446862], ""wu"": [0.010760419698175108]}"
65,1357.19,3,13500,205.2,"{""werr"": [180.59385595919423, 1260.6949928506601, 895.6270826168796, 2.951570840257375, 2.322389592259068, 68.39818899900746, 3688.9906925114387, 1820.1469319484377, 0.13932491979808168, 0.21609617301830555, 1.214064124362325, 3303.0601907661703], ""wu"": [0.5211876624686773]}"
66,368.662,3,13500,218.7,"{""werr"": [110.45595067366534, 746.7383299709467, 517.81106334151, 23.56404091016638, 0.8027588096526826, 42.88817716318344, 4980.787602613303, 1441.815457905403, 0.7387043662221905, 0.1407136847861276, 0.38645128414970914, 1631.6817089354536], ""wu"": [0.018986775575084328]}"
67,350.736,3,13500,263.1,"{""werr"": [66.2087593815561, 606.1735081355027, 285.5266101338068, 5.93364259304383, 3.022281454560602, 12.793159436146361, 1296.4106834817887, 2956.67459131091, 0.3500160766185484, 0.664981151861675, 1.917659842465661, 673.7169800405344], ""wu"": [0.006830054574641089]}"
68,293.549,3,13500,339.7,"{""werr"": [311.5837970294114, 1307.7137500697, 624.7419383003281, 1.427921815603231, 5.351532186524931, 256.5223942483439, 535.81794175307, 965.3766934181211, 4.101651166037193, 0.29744047540638263, 0.3227270312631613, 1235.039200630406], ""wu"": [0.029193456519549393]}"
69,293.479,3,13500,333.0,"{""werr"": [271.9621724899879, 2537.9662808763574, 1064.2169311775313, 0.3266223792248631, 5.834929436344619, 500.6094314974251, 509.39771994662976, 916.6429221723135, 3.3809760774740187, 382.7865938894202, 0.31886692261574506, 421.2770513270049], ""wu"": [0.02741712984613265]}"
70,308.236,3,13500,303.1,"{""werr"": [301.4540821681233, 2627.5940158773647, 1250.303947789895, 0.23435517694386288, 4.211327054391578, 931.9458858192288, 557.4117318455952, 629.5408753670652, 3.385278955880599, 821.9831535836212, 0.18625562810940338, 361.2564035847088], ""wu"": [0.048526416915290756]}"
71,313.98,3,13500,233.0,"{""werr"": [276.7989497362573, 1343.2195861514392, 1107.933448249439, 0.28237247069758203, 5.567880746812337, 1361.2943739494217, 432.5895281838808, 907.5679455489835, 3.6953238465408584, 758.2427261168921, 0.13713944508025236, 380.91007872418845], ""wu"": [0.04730500559409706]}"
72,315.725,3,13500,205.5,"{""werr"": [284.9345273422747, 1479.053835107802, 1273.9237580873535, 0.18403442128414588, 6.0736199695028885, 810.9923294845329, 519.6021073470889, 640.682098788278, 3.3071968572247967, 985.1503305233788, 0.14669793090231265, 125.11056151227126], ""wu"": [0.050530893160577704]}"
73,387.711,3,13500,201.2,"{""werr"": [287.87012490188727, 1401.8671181763177, 3202.879786690121, 0.20793763112858288, 5.137565053172948, 1062.6847909469232, 331.83528206921477, 880.3238909415016, 4.288709241021466, 788.3103912045794, 0.13846379182840726, 114.66755660313953], ""wu"": [0.11045253302650332]}"
74,308.047,3,13500,201.2,"{""werr"": [365.9490103085074, 2188.5967361912317, 1238.045864599599, 0.5158475964280013, 6.701975251321041, 709.8599606387712, 223.82227219551658, 590.0963149631547, 2.554534284917865, 938.7481834832838, 0.15881234721607498, 317.4438892840792], ""wu"": [0.05374847379959843]}"
75,315.554,3,13500,201.0,"{""werr"": [386.47347104703624, 2408.8726237807255, 1561.5441761555376, 0.8508082533640196, 3.7581756051788133, 2089.899275452981, 193.7631537627606, 329.645758358567, 2.211003061955109, 1418.457056657016, 0.28654669163591573, 335.911180114695], ""wu"": [0.041517894838549646]}"
76,364.683,3,13500,200.5,"{""werr"": [219.4678236689041, 2132.566691694918, 1119.5891379679358, 0.41243772751299845, 1.4116735258263633, 467.6323918303669, 234.9786063796684, 538.0962948090831, 5.276737846079777, 166.83720492149695, 0.22314249829338603, 450.2111764035177], ""wu"": [0.07658465168146815]}"
77,306.096,3,13500,202.8,"{""werr"": [512.8038414538887, 1132.6844443297116, 394.20698176135465, 0.3447293969283488, 7.2729165964758815, 578.1266962463541, 460.2503383814968, 997.8613418972291, 11.314956606710165, 414.1207235378499, 0.3689712335603594, 173.62524545160423], ""wu"": [0.03236018483288049]}"
78,305.053,3,13500,201.7,"{""werr"": [577.6132051953354, 420.18733606884393, 387.86791080610544, 0.6118411885558441, 7.449122399016646, 366.32185990603654, 755.2377786904128, 1211.2514540636182, 12.289698182777089, 481.2649390288058, 0.3506301136428061, 213.55825031604118], ""wu"": [0.02887030045960081]}"
79,310.05,3,13500,201.7,"{""werr"": [555.7064992920966, 455.2667226731828, 221.66865673616735, 0.5556592695200745, 2.400317290217628, 496.550202973415, 719.333248521203, 273.7938947728372, 10.967130744936288, 368.5512895455685, 0.6292476204350126, 173.6081448502154], ""wu"": [0.029243457430464484]}"
80,314.121,3,13500,203.3,"{""werr"": [657.2444182271722, 422.3761135388671, 115.35496801900628, 0.6745327461403552, 2.2257770855501087, 326.8704741647456, 714.4673708722567, 1230.5364789435755, 11.808736813176363, 355.5448670275004, 0.1805723851782663, 163.18006264316764], ""wu"": [0.03014187776883434]}"
81,313.055,3,13500,201.8,"{""werr"": [514.050759594418, 887.467371785906, 619.4438874212891, 0.5114990366786208, 2.829254412576569, 616.8742280613894, 263.026790171142, 275.3181825231934, 7.413702194232546, 433.0373885702172, 0.6203137094915967, 77.66374301647191], ""wu"": [0.0362044065712184]}"
82,306.63,3,13500,201.9,"{""werr"": [378.2343992367404, 505.0472109349433, 334.156150477704, 1.3936733005577606, 3.847102229789882, 246.3885311690465, 76.3044586408684, 2199.6177588651826, 16.028644306812115, 2162.955851388731, 0.30291244366619696, 253.03618831116594], ""wu"": [0.026303077295500996]}"
83,325.197,3,13500,201.9,"{""werr"": [358.78904237636743, 1087.1795020617576, 216.22617415926968, 1.2712147434318861, 7.61478211009022, 215.5040904781271, 89.85812501978067, 2298.0776582724566, 13.873294882699733, 2278.6019385890095, 0.34926020983491907, 267.8560321758048], ""wu"": [0.06359475765044979]}"
84,312.01,3,13500,201.6,"{""werr"": [503.916412461694, 561.7052456558677, 149.7994355673884, 0.4004875131271575, 4.683978298963632, 401.51294754265194, 146.19883423387768, 403.9581565136072, 19.909142446902315, 4324.6491950239015, 0.10273787007515488, 182.9908714089894], ""wu"": [0.028655878246365]}"
85,289.947,3,13500,202.7,"{""werr"": [1022.3769732372104, 1822.2917605011874, 388.7949134966334, 0.18360839558949907, 1.1211864325301342, 1996.4467888648946, 582.0611332760765, 1123.9092810129912, 15.777116097128241, 205.4770825925504, 0.2640928429959276, 76.07647194332617], ""wu"": [0.025073478245418564]}"
86,293.508,3,13500,203.3,"{""werr"": [1137.7464571280557, 2640.8977104438623, 350.8633487702481, 0.14225269763056878, 1.1467413983726826, 4560.085413959483, 205.44786329429692, 1168.6373765769013, 15.58124828437304, 225.62597099902268, 0.268390316398146, 271.0325373224888], ""wu"": [0.023020999890702366]}"
87,289.037,3,13500,202.8,"{""werr"": [1801.0152926890962, 1900.4656296601129, 348.52191900120215, 0.13894715564527807, 1.185444962575336, 3279.480893754617, 189.28654088952746, 1130.1294447947753, 26.094932785226508, 208.64782819026695, 0.31493237931557116, 71.1080889331076], ""wu"": [0.024858108510549516]}"
88,303.628,3,13500,203.0,"{""werr"": [1918.2785358807967, 1827.7290723286806, 375.8010294038458, 0.18638184134325703, 1.3663579764773244, 4210.820670436078, 83.03251287605181, 4923.9113403895535, 24.95887561624573, 133.97868032983953, 0.26738113584893625, 65.95652438458433], ""wu"": [0.024089702942240495]}"
89,301.652,3,13500,203.9,"{""werr"": [2021.9957983525323, 1748.627779311675, 81.02190384748184, 0.12989538957134583, 1.0696028029223368, 4976.2312303422905, 130.046152427126, 4154.044959666627, 25.07946053688653, 184.13520393951757, 0.448537423273213, 64.06364162232744], ""wu"": [0.023399956409262963]}"
90,300.138,3,13500,205.1,"{""werr"": [2174.903718057497, 1744.436942664908, 72.65109153083118, 0.1353146828273911, 1.0555903749506943, 4879.328546216682, 55.57683984497435, 3638.054100109954, 27.270162068400445, 162.54420649120436, 0.24958945457708764, 58.85540105838216], ""wu"": [0.021952551468977576]}"
