trial,objective,episodes,env_steps,wall_s,params
33,210.177,1,4500,60.3,"{""werr"": [2160.3766625007074, 81.1068256804974, 2006.8281395038125, 88.34619280414903, 0.3436711799385739, 6.615734721377767, 35.80996671562837, 2526.986472042093, 452.78827983189456, 1921.8130779941341, 0.2034073441607533, 411.44371247692874], ""wu"": [0.014093788857890683]}"
34,16.0462,1,4500,60.2,"{""werr"": [2448.577378231015, 1378.4904033405496, 1829.5577710034934, 66.34462399741894, 0.3096124673715845, 5.252068905323312, 42.277674876775436, 4603.984005157009, 698.7784571824637, 1767.4113805878585, 0.12615100828247822, 520.788050694794], ""wu"": [0.014667334446086883]}"
35,12983.3,1,4500,61.0,"{""werr"": [4885.100466081781, 1412.3653845017648, 1456.6887286119518, 35.58352888426753, 0.10241624414611446, 2.9161495555863777, 69.87933802094932, 4959.641059518901, 1646.9924431390334, 1623.9358722507993, 0.20750432053437567, 124.5457366209577], ""wu"": [0.027326343928609945]}"
36,52.8805,1,4500,60.1,"{""werr"": [1337.4492271058066, 3901.338125764662, 3890.9727238408345, 63.27479902636914, 0.2688869585478379, 1.1885038796320098, 207.63222867372357, 2410.7476643925356, 783.9254591844438, 838.8976724629322, 0.5064761264216824, 708.0634288059443], ""wu"": [0.05720657841841557]}"
37,15214.3,1,4500,60.8,"{""werr"": [1239.227401717355, 4964.663909465001, 4899.470777372036, 58.57231922257121, 0.23628990427492322, 1.2579914906797416, 239.9866005829047, 3374.0599907914543, 950.8136269680671, 604.7672767735972, 0.1057918147406974, 3537.8009485705343], ""wu"": [0.06579686026353028]}"
38,100.36,1,4500,60.1,"{""werr"": [2828.9175826673118, 1329.0623845054786, 1734.1556638907002, 16.495582663896293, 0.29493338559948545, 6.880357798791168, 30.8098388965014, 35.29800636813713, 2319.9279038759264, 2404.1103552621253, 2.5578787735511335, 762.346946141017], ""wu"": [0.06512041307370871]}"
39,31006.7,1,4500,61.3,"{""werr"": [2846.267282062472, 1420.5122919373719, 2125.6670301860822, 13.75667373972486, 1.3235180479406925, 26.16383462724069, 23.997024166914304, 0.132918398033196, 2865.7843976013055, 2403.8073415068693, 4.954336060924, 738.866697082326], ""wu"": [0.07013588718480206]}"
40,33149.7,1,4500,60.1,"{""werr"": [274.274292249065, 402.01488596939197, 1105.1829484682532, 5.206226327443399, 0.2561973064512189, 11.781378704978096, 5.5498319520750385, 43.34442107887199, 2199.698987007572, 592.2441884233242, 2.2209102991506673, 1974.4812824214714], ""wu"": [0.06040013078328145]}"
41,1627.38,1,4500,60.0,"{""werr"": [1236.6324266061135, 1676.361318096464, 2552.608222070606, 15.299293747411454, 2.0098929606591307, 7.9402197788485935, 83.75846197032294, 0.35963343957710786, 622.0872439055589, 2938.2022420255744, 13.87157964905973, 653.3425832720508], ""wu"": [0.09270088113496971]}"
42,437.914,1,4500,60.1,"{""werr"": [2670.460586352825, 4467.570825628787, 4643.565591056875, 123.59624789899651, 0.1563482724732439, 4.120180790413689, 7.91060823798094, 3.8674821263789343, 848.7782155772176, 1000.0676348693838, 0.2980182750860176, 1335.5321865769495], ""wu"": [0.023372381808709174]}"
43,247.269,1,4500,60.3,"{""werr"": [1665.840314585355, 2619.343105873759, 2518.9875141863704, 28.046681343420044, 0.3606623208324975, 2.2194783491825874, 116.25687484323788, 27.802876618898843, 1743.757619618104, 951.6757443191265, 0.47146625244466467, 60.90938809655898], ""wu"": [0.013941409559014878]}"
44,33.9614,1,4500,60.5,"{""werr"": [2792.885760333678, 907.8626786827083, 1321.241047589905, 57.43257812985113, 0.17034536499022862, 1.1424446331717752, 26.029159575128453, 1923.647591350287, 4583.448888628086, 186.3723206595328, 0.21272684346294346, 4824.621590746148], ""wu"": [0.04058724982824121]}"
45,24.8039,1,4500,60.4,"{""werr"": [2902.6081193300056, 347.45865048486377, 1207.188057565328, 201.04747384660288, 0.19516903404564717, 1.0120018975891507, 24.652884001341977, 2187.702818356834, 4663.960903392732, 137.47825174031573, 0.18332370039776028, 4240.673190452395], ""wu"": [0.04182511175700195]}"
